Metadata_id,Metadata_matrix,Metadata_condition,Metadata_dose,VOT,Exp_Tracks,Exp_Valid_Tracks,Exp_Valid_Track_Fraction,Exp_Mean_Track_Length,Exp_Mean_Track_Life_Time,tracks_in_positive_sector,tracks_in_negative_sector,tracks_in_neutral_up_sector,tracks_in_neutral_down_sector
C1,FN,CP17,5,0.842570554233254,115,35,0.30434782608695654,25.57391304347826,25.57391304347826,19,2,12,2
C2,FN,CP17,5,0.6581041968162084,337,87,0.258160237388724,16.403560830860535,16.403560830860535,38,13,19,21
C3,FN,CP17,5,0.7781079742446756,121,25,0.2066115702479339,16.68595041322314,16.68595041322314,8,1,5,11
C4,FN,CP17,5,0.8640186915887851,71,25,0.352112676056338,30.140845070422536,30.140845070422536,8,1,3,14
D1,FN,SP17,5,0.871250657779337,192,84,0.4375,29.692708333333332,29.692708333333332,35,12,19,19
D2,FN,SP17,5,0.9409344305813645,158,90,0.569620253164557,47.68354430379747,47.68354430379747,39,10,23,18
D3,FN,SP17,5,0.992862509391435,38,37,0.9736842105263158,70.05263157894737,70.05263157894737,11,4,6,16
C1,FN,CP17,50,0.8000396746677246,467,143,0.30620985010706636,21.588865096359743,21.588865096359743,69,17,46,15
C2,FN,CP17,50,0.6145251396648045,377,71,0.1883289124668435,14.718832891246684,14.718832891246684,21,16,23,16
C3,FN,CP17,50,0.8174206815511164,297,90,0.30303030303030304,22.922558922558924,22.922558922558924,33,11,29,18
C4,FN,CP17,50,0.823876434624048,364,128,0.3516483516483517,25.61263736263736,25.61263736263736,47,22,48,15
D1,FN,SP17,50,0.7969745222929936,174,54,0.3103448275862069,21.655172413793103,21.655172413793103,24,7,18,7
D2,FN,SP17,50,0.9567567567567568,43,25,0.5813953488372093,43.02325581395349,43.02325581395349,7,6,5,7
D3,FN,SP17,50,0.9947252747252747,108,106,0.9814814814814815,63.19444444444444,63.19444444444444,28,25,32,21
C1,FN,vehicle,None,0.9077380952380952,32,13,0.40625,31.5,31.5,7,1,3,2
C2,FN,vehicle,None,0.5821287779237845,163,36,0.22085889570552147,14.006134969325153,14.006134969325153,13,10,9,8
C3,FN,vehicle,None,0.7564205457463884,114,27,0.23684210526315788,21.859649122807017,21.859649122807017,5,11,10,2
C4,FN,vehicle,None,0.9629497684360527,51,34,0.6666666666666666,55.03921568627451,55.03921568627451,15,6,13,1
D1,FN,vehicle,None,0.9045151739452257,32,18,0.5625,42.21875,42.21875,9,4,0,5
D2,FN,vehicle,None,0.9121135112240576,137,57,0.41605839416058393,34.46715328467153,34.46715328467153,23,8,14,12
D3,FN,vehicle,None,1,29,29,1,57.58620689655172,57.58620689655172,18,2,6,3
E1,HEM,CP17,5,0.9202111764119932,230,115,0.5,43.64782608695652,43.64782608695652,47,17,26,28
E2,HEM,CP17,5,0.9241188666205943,161,76,0.4720496894409938,44.93788819875776,44.93788819875776,24,10,21,21
E3,HEM,CP17,5,0.9001721170395869,210,80,0.38095238095238093,38.733333333333334,38.733333333333334,11,42,17,11
E4,HEM,CP17,5,0.8823170731707317,548,196,0.35766423357664234,29.927007299270073,29.927007299270073,64,40,57,37
E5,HEM,CP17,5,0.8458132441208305,391,135,0.3452685421994885,25.9923273657289,25.9923273657289,50,22,35,31
E6,HEM,CP17,5,0.8028143604546275,459,147,0.3202614379084967,24.152505446623092,24.152505446623092,73,20,34,28
F1,HEM,SP17,5,0.9472513089005236,131,85,0.648854961832061,58.3206106870229,58.3206106870229,31,14,25,15
F2,HEM,SP17,5,0.8078872542959574,658,193,0.2933130699088146,24.58662613981763,24.58662613981763,75,29,44,51
F3,HEM,SP17,5,0.8412363217508159,206,55,0.2669902912621359,25.28640776699029,25.28640776699029,12,22,11,10
E1,HEM,CP17,50,0.806766704416761,312,97,0.3108974358974359,22.641025641025642,22.641025641025642,22,30,24,25
E2,HEM,CP17,50,0.9474676724137931,79,42,0.5316455696202531,46.9873417721519,46.9873417721519,11,7,18,6
E3,HEM,CP17,50,0.9445477599323753,114,67,0.5877192982456141,51.8859649122807,51.8859649122807,14,14,18,21
E4,HEM,CP17,50,0.9326639746807814,198,100,0.5050505050505051,46.27777777777778,46.27777777777778,43,20,27,14
E5,HEM,CP17,50,0.9151346170602074,305,160,0.5245901639344263,37.62950819672131,37.62950819672131,47,34,43,38
E6,HEM,CP17,50,0.8665540540540541,299,109,0.36454849498327757,29.698996655518396,29.698996655518396,45,25,28,15
F1,HEM,SP17,50,0.9425022999080037,90,49,0.5444444444444444,48.31111111111111,48.31111111111111,20,6,13,12
F2,HEM,SP17,50,0.7875248359323258,832,225,0.2704326923076923,19.962740384615383,19.962740384615383,72,41,59,59
F3,HEM,SP17,50,0.8315863032844165,471,178,0.37791932059447986,27.343949044585987,27.343949044585987,63,31,49,39
E1,HEM,vehicle,None,0.8539189062646315,365,140,0.3835616438356164,29.257534246575343,29.257534246575343,56,25,30,33
E2,HEM,vehicle,None,0.880400181900864,107,42,0.3925233644859813,41.10280373831776,41.10280373831776,20,9,9,6
E3,HEM,vehicle,None,0.9723076923076923,60,40,0.6666666666666666,59.583333333333336,59.583333333333336,16,4,11,9
E4,HEM,vehicle,None,0.9464319515426841,107,57,0.5327102803738317,49.373831775700936,49.373831775700936,17,13,14,13
E5,HEM,vehicle,None,0.860950280305119,439,164,0.3735763097949886,24.785876993166287,24.785876993166287,52,26,49,40
E6,HEM,vehicle,None,0.7949019147186656,405,119,0.2938271604938272,21.019753086419755,21.019753086419755,43,19,34,25
F1,HEM,vehicle,None,0.8454262601120099,300,104,0.3466666666666667,26.783333333333335,26.783333333333335,32,38,14,25
F2,HEM,vehicle,None,0.9523860705073087,177,102,0.576271186440678,52.56497175141243,52.56497175141243,41,9,28,25
F3,HEM,vehicle,None,0.8690744920993227,226,93,0.41150442477876104,31.36283185840708,31.36283185840708,38,19,22,19
